%Temp,%Salinity,%TA,%DIC
25,35,2300.35376,2048.8479
25,35,2287.835449,2052.496338
24.5,35,2292.627686,2068.755127
24.9,35,2259.32666,2006.283447
24.7,35,2290.427002,2060.39502
24.3,35,2257.95752,2006.866455
24.8,35,2259.913574,2022.947144
24.9,35,2306.661865,2081.381348
24.4,35,2295.708252,2072.249023
24.8,35,2302.114258,2095.535156
24.1,35,2286.759521,2052.854492
23.9,35,2273.947754,2055.501465
24.6,35,2295.463867,2080.24707
24.7,35,2306.026123,2106.03418
23.9,35,2291.649658,2070.300537
24.8,35,2311.50293,2095.528564
23.8,35,2281.282715,2077.534424
25,35,2305.683838,2098.915527
24.1,35,2266.80835,2037.862061
24.6,35,2312.969971,2119.76416
23.9,35,2295.952881,2083.458984
23.6,35,2288.862305,2092.448486
24.9,35,2308.422363,2109.51001
25.4,35,2298.837891,2095.441895
23.8,35,2272.0896,2061.458008
24.6,35,2309.400391,2127.247559
23.8,35,2300.696045,2100.070557
23.4,35,2292.676514,2104.380371
24.8,35,2307.362793,2115.908691
25.4,35,2297.664307,2098.874268
24.3,35,2264.216797,2048.405518
23.7,35,2284.167969,2084.391357
24.6,35,2303.776855,2137.958008
24,35,2260.304688,2048.740479
23.2,35,2291.600586,2117.322754
24.4,35,2286.270508,2064.44165
24.7,35,2307.688721,2132.306152
25.4,35,2295.75708,2105.763428
23.5,35,2268.894775,2082.948975
23.9,35,2258.837646,2049.652344
23.1,35,2307.884521,2108.54834
24.2,35,2299.913818,2086.3396
24.6,35,2307.835449,2137.428711
25.4,35,2294.127197,2112.947998
23.4,35,2273.393555,2102.263672
23.8,35,2262.114014,2061.654297
23.8,35,2298.73999,2072.014893
22.8,35,2311.405273,2113.141357
24.2,35,2296.050537,2099.527832
25.3,35,2291.551758,2124.632568
22.5,35,2289.498047,2103.457764
23.7,35,2272.578613,2080.025391
23.5,35,2298.984619,2072.861816
22.5,35,2313.850098,2123.255371
24.1,35,2297.37085,2115.879395
22.6,35,2297.175293,2112.207031
23.6,35,2303.385498,2065.578857
23.2,35,2299.76709,2074.212646
21.9,35,2322.75,2142.143799
24.5,35,2303.630127,2132.63501
22.9,35,2277.615234,2068.633301
22.6,35,2294.453125,2119.950684
23.5,35,2298.446777,2062.927734
23.1,35,2305.683838,2082.619385
21.7,35,2311.698486,2141.417236
23.1,35,2287.248535,2078.159424
23.3,35,2305.145996,2068.893799
23.1,35,2303.776855,2079.836426
23.7,35,2303.581299,2061.200684
23.1,35,2285.423096,2073.054443
23.8,35,2299.033447,2114.336426
23.5,35,2306.906494,2066.375244
23.9,35,2303.141113,2057.375488
23.9,35,2289.726318,2113.320557
23.2,35,2288.177734,2070.615234
23.6,35,2299.962646,2047.122681
23.8,35,2296.490723,2044.181152
24.1,35,2285.341553,2098.57666
24.1,35,2297.077393,2049.64917
24.2,35,2285.830566,2051.61084
24,35,2291.209473,2024.651978
24.6,35,2285.341553,2095.781738
23.3,35,2294.143555,2037.864624
24.3,35,2286.515137,2039.087036
24.4,35,2285.781494,2035.891357
24.2,35,2292.480957,2015.507568
24.7,35,2272.480713,2078.911865
24.3,35,2289.644775,2022.24292
24.2,35,2278.70752,2015.895386
24.3,35,2280.011475,2014.767334
24.5,35,2286.417236,2017.894775
24.3,35,2271.942871,2002.676514
24.7,35,2283.287598,1999.578247
25.2,35,2269.742432,1998.302979
24.9,35,2281.869629,1998.848511
24.4,35,2272.1875,1987.604614
25.1,35,2269.497803,1964.347656
26.2,35,2278.446533,1982.602783
25.5,35,2265.390381,1979.241333
25.2,35,2277.761963,1980.523804
25.7,35,2240.940186,1963.439575
26.6,35,2275.023682,1961.987427
25.9,35,2257.859619,1950.225952
25.3,35,2268.422119,1954.704712
26.1,35,2229.497803,1931.02478
26.8,35,2261.087158,1933.269165
26.5,35,2273.996582,1973.726074
26.3,35,2266.025879,1981.839966
26.3,35,2247.541748,1924.031982
26.5,35,2227.590576,1899.077148
27.2,35,2246.172607,1906.521973
26.7,35,2276.783936,1999.358398
26.4,35,2259.718018,1947.566406
26.8,35,2268.992676,1977.810425
26.6,35,2258.984375,1900.743286
26.6,35,2207.085205,1848.626465
27.1,35,2233.703125,1872.314941
26.6,35,2272.920898,1988.574829
25,35,2236.832764,1909.148682
27,35,2288.52002,2017.581543
26.6,35,2235.414551,1896.306885
27.5,35,2251.600586,1925.218994
26.3,35,2240.891357,1888.398315
27,35,2200.255615,1806.102783
27,35,2259.913574,1946.846558
26.4,35,2223.287354,1868.124878
27,35,2292.040771,2012.629517
27.4,35,2273.556641,1984.033081
26.8,35,2227.688477,1847.527222
27,35,2238.055176,1889.815186
27.5,35,2235.170166,1885.801758
26.7,35,2247.672119,1909.912964
26.4,35,2229.693359,1856.602539
27,35,2248.275391,1925.140137
26.5,35,2249.204346,1882.497437
26.5,35,2209.35083,1820.99353
27.2,35,2279.620117,1982.244873
27.6,35,2256.34375,1943.0448
27.1,35,2270.035889,1997.989868
26.9,35,2219.717773,1811.677002
27.6,35,2222.651611,1854.223999
26.8,35,2240.728516,1888.377808
27.3,35,2238.006348,1888.647461
26.8,35,2215.267822,1817.200439
26.4,35,2237.908447,1856.88855
26.4,35,2193.311768,1776.663818
27.3,35,2256.148193,1935.124756
26.7,35,2231.453613,1871.321167
27.8,35,2239.815674,1903.972778
26.9,35,2258.201904,1975.591064
26.2,35,2244.966309,1894.104004
27.8,35,2206.123535,1811.133789
26.8,35,2235.838379,1865.917847
26.6,35,2202.406982,1788.97522
26.4,35,2229.497803,1822.150269
26.4,35,2184.558594,1738.33374
27.4,35,2242.391113,1888.866943
26.5,35,2224.216553,1850.287109
27.7,35,2227.003906,1880.121216
26.9,35,2246.791992,1942.001953
25.9,35,2241.771484,1886.015259
25.8,35,2233.996582,1852.207764
26.8,35,2233.067383,1861.505615
24.2,35,2258.593262,1937.025635
26,35,2217.51709,1801.491577
26.8,35,2186.95459,1750.544067
26.5,35,2216.050293,1829.531982
26.7,35,2245.520508,1937.285767
25.9,35,2234.04541,1872.725586
27,35,2233.703125,1871.187256
25.5,35,2233.214111,1850.740479
26.7,35,2218.935303,1830.359375
23.9,35,2255.039795,1920.211426
24.1,35,2276.490479,1970.161011
25.6,35,2213.800781,1776.345703
23.6,35,2295.626709,2045.518677
26.2,35,2201.722412,1806.156616
26.6,35,2240.826172,1930.809692
25.6,35,2238.674561,1883.461182
25.3,35,2234.192139,1848.636841
23.8,35,2250.345459,1918.653198
24,35,2276.833008,1972.702759
23.6,35,2304.167969,2063.704346
25.8,35,2200.076172,1813.153564
25.4,35,2237.566162,1879.936401
23.5,35,2258.919189,1943.308105
24.9,35,2237.223877,1863.960327
23.9,35,2279.033447,1983.070313
24.4,35,2288.226563,2006.802002
23.5,35,2305.879395,2075.737305
24.5,35,2282.945313,2020.202759
24.6,35,2235.28418,1884.417969
22.5,35,2257.256592,1971.740967
23.7,35,2289.937988,2003.988037
24.2,35,2297.517578,2023.770996
23.3,35,2296.735107,2071.009766
24.2,35,2280.891602,2028.705811
24.6,35,2282.260742,2005.858154
23.4,35,2287.541992,2019.377686
24.1,35,2301.282959,2034.0448
24.4,35,2281.836914,2035.948853
22.9,35,2290.932373,2075.762695
24.4,35,2291.209473,2025.746704
23.7,35,2298.495605,2035.889771
24.2,35,2285.537109,2047.728516
24.4,35,2291.160645,2029.264771
23.8,35,2304.559082,2048.134766
24.2,35,2277.892334,2049.830811
24.4,35,2288.715576,2040.19812
24.5,35,2274.143311,2001.361938
24.4,35,2293.165527,2035.461792
24.6,35,2287.101807,2034.180054
24.7,35,2276.44165,2016.126587
24.3,35,2296.001709,2041.181763
24.4,35,2288.031006,2043.263062
24.6,35,2272.529785,2014.013428
25.1,35,2282.798584,2022.53418
24.5,35,2294.681396,2057.398682
24.4,35,2276.294922,2021.521851
24.9,35,2283.33667,2030.848755
24.4,35,2295.659424,2061.271729
24.4,35,2283.141113,2038.734985
24.8,35,2245.341309,1990.847534
24.8,35,2292.480957,2050.293701
24.9,35,2247.248291,1977.540771
25.6,35,2281.380615,2031.62085
24.7,35,2292.676514,2054.251953
24.9,35,2250.133545,1985.402588
-9,35.2,2159.2,1709.8
21.2,35.3,2252.5,1844.1
21.3,35.3,2269.9,1920
21.4,35.2,2219.1,1856.1
21.4,35.3,2272.8,1956.1
21.5,35.2,2275.4,1952.8
21.5,35.1,2317.1,2181.1
21.9,35.3,2272,1955.4
21.9,35.1,2276.5,1997.5
21.9,35.2,2294.8,2039
22.3,35.3,2182.9,1622.4
22.3,35.2,2270.9,1972.3
22.3,35.2,2273.5,1904.6
22.3,35.2,2276.1,2002.8
22.4,35.2,2228.9,1701.9
22.4,35.1,2250.8,1880.3
22.4,35.3,2258.8,1827.4
22.4,35.1,2265.4,1978.8
22.4,35.3,2281.5,1878.9
22.4,35.2,2292.8,1934.7
22.5,35.2,2309,2082.5
22.6,35.3,2264.6,1856.4
22.7,35.2,2245.4,1909.7
22.8,35.2,2210.6,1749.6
22.8,35.2,2300.6,2019.3
22.9,35.1,2247.5,1855.8
22.9,35.1,2281.5,1956.6
22.9,35.2,2289.7,1922.9
22.9,35.2,2304.5,2006.7
22.9,35.1,2312.5,2084.5
23,35.2,2177.1,1797.9
23,35.2,2238,1824.8
23.1,35.1,2263.7,1943.6
23.1,35.3,2288.1,1987.2
23.2,35.1,2229.1,1826.6
23.2,35.2,2263,1944.4
23.2,35.1,2277.6,2007.9
23.2,35.1,2291.3,2052.1
23.4,35.1,2225.5,1788.3
23.4,35.1,2257.9,1855
23.4,35.1,2308.4,2037
23.5,35.1,2238.4,1855
23.5,35.3,2243.1,1925.1
23.5,35.1,2255.5,1871.4
23.6,35.1,2253.5,1788.6
23.6,35.3,2297.8,2050.5
23.7,35.2,2221.7,1727.9
23.7,35.3,2240.7,1929.6
23.8,35.3,2233.2,1867.9
23.8,35.3,2235.9,1845.1
23.8,35.1,2253.8,2038.1
23.8,35.3,2264.1,1998.9
23.8,35.3,2273.8,1902.5
23.8,35.3,2277,1957.6
23.8,35.3,2279.5,1873.3
23.8,35.3,2299.5,1934.9
23.9,35.3,2237.3,1822.5
23.9,35.3,2242.2,1829.7
23.9,35.2,2253.8,1859.2
23.9,35.3,2257.6,1908.3
23.9,35.2,2291.6,2009.3
24,35.3,2276.2,1923.2
24,35.2,2285.5,1931.3
24,35.3,2296.4,1989.9
24,35.2,2305.3,2034.8
24.1,35.3,2189.2,1787
24.1,35.3,2195.1,1765.6
24.1,35.3,2239.1,1887.1
24.1,35.3,2258.3,1921.1
24.1,35.3,2279.7,1867.5
24.1,35.3,2285.7,1949.4
24.1,35.2,2286.3,2020.2
24.1,35.2,2302.3,1994.6
24.2,35.2,2199.8,1736.2
24.2,35.2,2236,1918.5
24.2,35.2,2248.1,1919
24.2,35.2,2293.1,1981.1
24.3,35.2,2164.9,1759.4
24.3,35.2,2219.8,1794.8
24.3,35.2,2229.9,1820.7
24.3,35.2,2242.7,1870.3
24.3,35.3,2251,1914.8
24.3,35.2,2264.3,1982.5
24.3,35.2,2265.6,1878.8
24.3,35.3,2265.7,1929
24.3,35.2,2269.1,2002.5
24.3,35.2,2277.7,1964.1
24.3,35.3,2284.5,2088.1
24.3,35.3,2306.4,1957.3
24.3,35.2,2310.5,2041.3
24.4,35.2,2191.3,1823.7
24.4,35.2,2225.3,1832.9
24.4,35.2,2230.8,1906.6
24.4,35.2,2238.4,1907
24.4,35.2,2239.2,1839.5
24.4,35.2,2248.5,1967.5
24.4,35.3,2259.5,1917
24.4,35.2,2260.9,2055.7
24.4,35.3,2265.1,2038.6
24.4,35.2,2270.1,1965.6
24.4,35.3,2304.7,1989.2
24.4,35.2,2332.7,2073.2
24.6,35.2,2252.8,1989.5
24.6,35.1,2257.3,1820.2
24.6,35.1,2278.7,1911.7
24.6,35.2,2290.5,1962.5
24.6,35.2,2300.4,2044.8
24.7,35.2,2210.9,1885.6
24.7,35.3,2229.2,1831.7
24.7,35.2,2259.6,1936.6
24.7,35.2,2297.5,2013.4
24.8,35.2,2280.6,1958.8
24.9,35.2,2179.6,1807.4
24.9,35.2,2193.9,1856
24.9,35.2,2238.3,1886.3
24.9,35.2,2253.9,1929.6
24.9,35.2,2261.3,1859.8
24.9,35.2,2280.5,1954.5
24.9,35.2,2292.1,2031.1
24.9,35.2,2296.5,2048.2
24.9,35.2,2299.5,2034.5
24.9,35.2,2303.2,2039.9
25,35.2,2222.5,1874.5
25,35.2,2240.6,1909.3
25,35.2,2244.8,1879.7
25,35.2,2245.5,1880.3
25,35.2,2249.2,1998.2
25,35.2,2261,1906.2
25,35.2,2274.9,2022.4
25,35.2,2282.2,1935.4
25,35.2,2289.9,2022.1
25,35.2,2296,2007
25,35.2,2306,1994.1
25.1,35.2,2240,1781.5
25.1,35.2,2261.7,1969.6
25.1,35.2,2290.5,1986.7
25.1,35.2,2296,2011.9
25.1,35.2,2310.2,2055.1
25.2,35.2,2229.6,1886
25.2,35.2,2269.6,1945.1
25.2,35.2,2293.2,1981.7
25.2,35.2,2310.9,2065.3
25.3,35.2,2259.3,1866.2
25.3,35.2,2285.5,2007.5
25.3,35.2,2291.5,1989.5
25.5,35.2,2254.5,1906.9
25.5,35.3,2277.8,1983.6
25.6,35.2,2246.2,1884.9
25.6,35.3,2257.8,1957.5
25.6,35.3,2269.3,1985
25.8,35.3,2247.7,2032.7
26.1,35.3,2169.8,1759.9
26.2,35.3,2322.8,2043.7
26.6,35.3,2181.4,1811.7
26.8,35.3,2243.6,1891.2
-9,35.3,2184.7,1663.9
-9,35.3,2186.7,1680.6
-9,35.2,2191.1,1809.8
-9,35.3,2198,1733
-9,35.2,2200.6,1754.5
-9,35.3,2205.3,1807.6
-9,35.3,2210.1,1837.7
-9,35.2,2211.1,1989
-9,35.2,2217.5,1898.6
-9,35.2,2218.5,1878.1
-9,35.2,2225.8,1808.4
-9,35.2,2227.8,1844.5
-9,35.2,2232.4,1906.1
-9,35.2,2235.2,1915.3
-9,35.3,2238.8,2011.1
-9,35.2,2245.2,1870.9
-9,35.2,2250.1,1883.4
-9,35.2,2263.9,2005.2
-9,35.2,2267.6,1951.3
-9,35.2,2267.9,2085.9
-9,35.3,2269.4,1970.9
-9,35.2,2277.1,1963.7
-9,35.2,2286.8,1983.3
-9,35.2,2290.4,2132.2
-9,35.3,2294.5,2023.1
-9,35.3,2309,2048.4
-9,35.1,2311.1,2013.7
-9,35.3,2312.8,2015.4
-9,35.2,2313.5,2108.9
-9,35.3,2313.8,2074.3
