%Temp,%Salinity,%TA,%DIC
28.79,33.687,2193.691591,1866.063744
28.79,33.682,2192.606722,1864.679695
28.87,33.743,2209.233002,1874.1808
28.84,33.731,2201.433052,1875.626234
29.32,33.835,2204.129801,1879.017709
29.24,33.829,2203.77098,1878.39256
29.23,33.827,2202.402776,1879.104835
29.27,33.806,2209.362355,1877.574433
28.8,33.637,2187.163547,1859.846184
28.99,33.765,2198.968057,1860.454029
29.02,33.756,2196.434006,1858.13145
29.61,33.777,2188.583668,1821.070007
29.33,33.788,2197.623787,1844.939366
29.78,33.6,2151,-9
29.73,33.804,2200.349233,1851.605197
30.18,33.824,2196.832487,1844.370922
29.85,33.838,2198.626811,1839.64984
29.32,33.865,2210.908845,1873.175722
29.35,33.869,2207.647367,1861.474302
29.62,33.856,2205.244692,1854.875837
30.18,33.827,2192.285079,1836.163548
29.63,33.83,2201.649385,1858.668367
29.63,33.835,2203.192354,1854.537542
29.68,33.847,2202.593448,1850.735283
29.78,33.819,2197.809368,1843.494224
29.78,33.813,2196.047121,1842.734354
29.96,33.816,2199.33829,1849.868799
29.36,33.842,2211.678225,1864.152644
29.39,33.839,2208.847549,1867.654444
29.66,33.827,2203.495203,1852.550085
29.35,33.85,2206.366547,1860.005342
29.33,33.845,2208.631868,1863.573116
