%Temp,%Salinity,%TA,%DIC
-9,-9,2253.2,1949.14
-9,-9,2227.45,1869.65
-9,-9,2263.2,1902.21
24.6029,35.082,2280.4,1979.41
24.6213,35.0845,2278.25,1977.99
24.6327,35.0839,2278.2,1973.3
24.6396,35.081,2281.6,1985.29
24.6459,35.0797,2275.35,1988.5
24.6636,35.0779,2271.166667,1998.37
24.7306,35.0868,2276.3,1954.36
24.8266,35.0746,2263.15,1983.25
24.8455,35.0981,-9,1932.28
24.9051,35.0645,2266.2,1990.24
25.1758,35.0523,2277.5,1981.21
25.1835,35.0584,2267.85,1968.7
25.2577,35.0687,2270.85,1978.22
25.5055,35.0448,2271.9,-9
25.6481,34.9329,2246.2,1985.456067
25.6538,35.0545,2266.85,1943.33
26.0576,35.0862,2271.25,1952.536733
26.0644,35.0455,2275.7,1953.4295
26.1716,35.0716,2267.75,1949.4525
26.2662,35.0798,2271.8,1940.631263
26.3281,35.0374,2258.45,1945.518033
26.3468,35.0671,2277.6,1941.5462
26.3494,35.0591,2243.35,1886.19
26.417,35.0683,2274,1940.3975
26.454,35.0856,2265.7,1922.973567
26.457,34.9139,2259.55,1946.104388
26.4836,35.069,2281.7,1931.963767
26.5495,35.0883,2264,1924.81305
26.6314,35.0144,2257.85,1944.3767
26.6523,35.0561,2261.6,1908.9113
26.7893,34.9111,2252.8,1936.258683
26.8378,35.0543,2264.5,1928.124683
26.9432,35.0476,2256.9,1892.0567
26.961,35.0839,2259.65,1918.490333
26.9771,35.0386,2212.65,-9
27.2471,35.0107,2245.3,1889.266233
27.3056,35.0227,2234.8,1883.46005
27.4499,35.0185,2235.55,1872.144533
26.6701,34.9427,2246.85,1928.98105
26.6867,34.9453,2260.5,1941.713921
26.882,34.946,2237.5,1909.047054
26.4552,34.9559,2252.6,1946.604538
26.1176,34.9613,2246.45,1953.9306
26.507,34.9648,2266.6,1952.0244
25.9856,34.9673,2254.2,1972.767817
27.4962,34.9701,2196.7,1842.053083
28.057,34.9719,2191.35,1796.513133
25.9676,34.9719,2254.9,1976.698017
26.3558,34.9724,2254.9,1963.213467
26.1858,34.9744,2272.35,1989.960021
25.5141,34.9751,2239.85,1985.499833
26.6941,34.9799,2209.166667,1887.593033
25.9756,34.9836,2257.1,2007.098467
25.975,34.9851,2238.45,1947.0356
24.8852,35.0661,2260.45,1988.05
25.3452,35.0697,2251.6,1911.33
25.7872,35.078,2236.05,1848.18
25.5222,35.0784,2253.5,1884.17
25.8918,35.082,2206.5,1770.62
