%Temp,%Salinity,%TA,%DIC
28.12,34.7,2273.972376,1997
27.91,34.57,2272.961117,2015
27.75,34.44,2267.975154,2025
28.05,34.66,2276.042899,1994
27.86,34.65,2281.987202,2014
27.63,34.67,2285.993383,2032
27.4,34.68,2287.962493,2041
30.07,34.73,2151.047452,1648
29.66,34.71,2185.044514,1759
29.27,34.68,2230.028605,1861
30.06,34.72,2171.026708,1689
30.73,34.71,2178.974265,1727
30.11,34.74,2180.037558,1720
29.63,34.71,2194.027951,1771
29.45,34.7,2216.033723,1826.1
30.1,34.71,2198.972456,1773
30,34.7,2191.964556,1730
29.78,34.69,2219.033011,1824.3
30.62,34.7,2193.988013,1748
29.5,34.68,2239.006779,1875
30.26,34.68,2197.963925,1780.9
29.87,34.67,2217.957298,1806
24.88,34.53,2237.385901,1961.2
24.04,34.57,2241.265664,1993.2
23.6,34.58,2248.098498,2013.7
25.03,34.51,2243.090386,1969.3
24.28,32.89,2150.369017,1914.9
26.14,34.49,2183.145774,1806.2
24.73,34.32,2171.059361,1773.9
26.3,34.47,2201.279149,1854.2
25.71,34.52,2195.425429,1794.2
26.34,34.46,2216.285373,1894.8
25.7,34.51,2210.492317,1846.7
25.03,34.37,2188.57377,1816.8
25.9,34.53,2171.286223,1729.3
25.1,34.62,2212.163786,1870.7
25.03,34.6,2214.398678,1876.8
24.97,34.62,2219.604822,1886.2
25.6,34.43,2238.031692,1930.2
25.55,34.44,2231.821665,1929.5
25.52,34.44,2235.028105,1938.1
25.51,34.43,2232.984614,1946
24.23,34.71,2260.309763,1981.5
24.08,34.71,2260.113682,1992.1
24.02,34.72,2255.758444,1996.4
24.68,34.68,2209.054455,1900.9
24.59,34.7,2184.531196,1847.5
24.9,34.66,2217.538427,1919.4
26.57,34.33,2189.168846,1808.9
24.65,34.68,2204.246102,1886.8
25.68,34.33,2230.134455,1903.1
26.56,34.33,2197.574052,1821.3
25.71,34.35,2217.898395,1877.6
26.18,34.33,2213.357442,1862.6
25.42,34.37,2223.636672,1898.4
25.22,34.54,2223.81127,1903.7
27.36,34.253,2204.507803,1915.8
27.09,34.263,2204.109541,1921.2
26.95,34.272,2194.704991,1924
26.75,34.28,2206.196759,1948.8
27.84,34.188,2207.589858,1912.6
27.76,34.193,2214.082313,1925.7
27.7,34.192,2217.956183,1941.6
27.63,34.194,2211.934596,1947.1
27.55,34.2,2213.82601,1956
28.02,34.235,2167.31961,1855
27.88,34.24,2162.909146,1856.9
27.79,34.246,2165.773478,1870.1
27.67,34.248,2170.091336,1864.4
27.69,34.248,2163.842425,1889.5
28.38,34.207,2140.404008,1743.2
30.06,34.214,2122.083605,1720.6
28.02,34.191,2167.096157,1812.5
29.92,34.21,2139.1281,1752.7
28.8,34.245,2159.429457,1771.8
29.73,34.204,2146.836249,1779.4
28.25,34.2,2161.466616,1781.9
28.55,34.227,2133.833809,1714.3
28.41,34.243,2183.335892,1837.8
29.07,34.25,2146.199551,1752.1
29.35,34.257,2139.042569,1725.1
29.24,34.198,2164.219931,1817.7
27.85133333,34.38359091,2231.971423,1945.411605
27.7035,34.39063636,2236.357097,1952.870515
27.5725,34.39418182,2233.88033,1962.780732
27.4315,34.39822727,2236.80008,1976.851242
27.47833333,34.39977273,2232.729888,1981.85909
28.015,34.339,2231.636177,1943.547802
27.933,34.34245455,2232.909119,1958.986298
27.86466667,34.34804545,2238.031272,1968.931788
27.78333333,34.35059091,2238.60364,1981.33044
27.68533333,34.35663636,2241.942097,2001.725741
27.6355,34.35568182,2235.250721,2026.797752
28.12,34.28131818,2242.218015,1960.799304
28.0335,34.28836364,2242.916187,1951.293172
27.9,34.30040909,2248.376129,1988.059472
27.754,34.30645455,2250.466955,1998.143314
27.6465,34.31445455,2254.303701,2008.300168
28.01566667,34.31581818,2253.684744,1961.971498
27.88766667,34.32427273,2252.422012,1972.970879
27.73833333,34.32922727,2256.266501,1984.906951
27.60416667,34.33568182,2259.780376,2003.084138
27.55,34.33663636,2257.148744,2004.803137
29.69,33.7535,2171.855662,1864.829157
29.815,33.767,2168.391221,1852.969978
29.966,33.7535,2164.754413,1845.383841
30.117,33.761,2163.381081,1830.631776
30.318,33.7715,2153.667208,1811.754777
30.571,33.772,2144.342962,1790.785461
30.874,33.789,2135.563144,1765.970729
31.128,33.837,2128.687252,1744.037697
29.665,33.898,2183.255124,1849.989701
29.865,33.8845,2179.219573,1836.652413
30.091,33.93,2173.647417,1819.327512
30.268,33.959,2161.36553,1790.635301
30.469,33.9185,2154.630273,1767.409818
30.697,33.909,2147.099329,1744.618439
28.791,33.8105,2209.543497,1943.7888
28.742,33.8205,2208.797401,1948.389488
28.667,33.809,2208.537074,1952.788101
28.617,33.7985,2207.880168,1958.830091
28.543,33.8665,2209.220464,1962.277872
28.468,33.8145,2213.94445,1967.926012
28.394,33.822,2213.241323,1973.261913
28.941,33.795,2205.716467,1940.547377
28.891,33.819,2204.175645,1943.889987
28.841,33.8135,2205.371916,1949.926719
28.766,33.811,2204.206931,1954.684735
28.717,33.826,2206.459436,1961.956099
28.642,33.826,2206.48578,1965.766265
28.543,33.84233333,2207.548045,1976.591026
28.444,33.837,2209.848932,1981.520158
28.419,33.841,2204.868474,1987.385087
31.408,33.814,2110.821961,1701.038135
31.868,33.8365,2087.678574,1623.356502
32.562,33.952,2005.939396,1310.667089
31.001,33.8185,2140.443437,1710.078478
29.565,33.9035,2191.50217,1864.600828
30.976,33.924,2139.859279,1694.310579
31.103,33.949,2131.646465,1647.905113
30.571,33.9265,2155.920329,1722.881544
30.066,33.9025,2169.999077,1804.859463
28.32,33.814,2206.90809,1982.11649
28.072,33.864,2219.063939,2029.442737
28.518,34.0175,2217.726159,1993.937133
28.196,33.839,2214.567046,2036.955713
23.232,34.82,2252.015567,1909.252533
22.465,34.832,2249.663666,1903.635392
21.915,34.858,2249.630533,1896.114846
23.136,34.776,2260.318492,1958.56194
22.417,34.812,2266.74031,1987.844882
23.436,34.878,2212.273628,1847.360446
23.328,34.887,2200.594685,1860.582911
23.268,34.899,2210.38595,1873.186277
23.184,34.886,2210.821118,1867.111565
23.076,34.889,2212.864779,1878.536076
23.713,34.741,2252.850166,1974.396668
23.665,34.719,2248.166575,1980.334322
23.617,34.743,2249.945526,1976.163068
23.593,34.73,2247.287958,1981.914401
23.545,34.719,2249.635627,1992.659511
23.521,34.7025,2247.42956,1986.908216
23.472,34.725,2246.919731,1986.215978
23.448,34.721,2248.593224,1994.091829
23.424,34.705,2246.099447,1991.457153
23.4,34.675,2234.798608,1979.435686
23.833,34.7165,2252.253,1985.849669
23.833,34.7225,2250.556999,1982.857814
23.809,34.734,2260.125972,2001.438086
23.833,34.7335,2256.32056,1988.866446
23.954,34.819,2254.138912,1916.040854
24.098,34.802,2244.995113,1901.748723
24.315,34.833,2235.669434,1882.195748
24.508,34.818,2228.591703,1866.035892
24.678,34.8045,2217.46901,1853.022537
24.75,34.831,2215.076332,1842.372502
24.847,34.816,2196.473699,1830.406139
24.968,34.826,2196.668427,1820.176914
25.417,34.81,2208.114685,1827.454533
25.563,34.835,2205.348348,1814.204301
25.66,34.821,2195.995435,1798.818354
25.685,34.8125,2186.71466,1785.916087
25.66,34.816,2179.544478,1779.203641
25.53,34.797,2226.873803,1860.50354
25.973,34.798,2227.422672,1859.884217
25.997,34.81,2220.613809,1839.672062
26.169,34.8095,2211.59412,1829.585668
26.293,34.805,2208.976553,1817.482903
26.367,34.801,2205.583283,1812.40757
26.317,34.815,2200.227333,1804.323017
26.169,34.8145,2196.872802,1798.151093
