%Temp,%Salinity,%TA,%DIC
21.91,32.335,2185.3,2121.1
21.875,32.874,2227,2137.6
22.436,33.102,2200,2056.3
22.997,32.258,2253.8,1978.8
24.522,35.249,2299.3,1959.5
25.124,35.048,2306.9,1953.6
25.167,35.31,2306,1965.5
24.92,35.311,2302.5,1966.2
25.365,35.302,2300.7,1956.9
25.427,35.273,2303.6,1935.2
25.366,34.966,2301.7,1911.1
25.243,34.864,2286.9,1903
24.77,35.063,2224.9,1869.7
24.045,35.272,2169,1860.6
23.43,35.332,2170.5,1935.2
22.855,35.348,2199,2028
22.629,35.359,2225.1,2104.1
22.088,35.478,2351,2084.5
22.679,35.386,2347.9,2114.3
22.899,35.363,2342.2,2086.8
22.789,35.299,2346.4,2092
22.782,35.173,2347.9,2109.8
22.457,35.199,2363.1,2157.9
22.305,35.25,2349.4,2191.8
22.018,35.29,2345.4,2234.3
21.884,35.329,2341.6,2232.8
22.293,35.369,2297.6,2143.7
22.887,35.367,2237.1,2016
23.505,35.507,2374.5,2005
24.832,35.378,2296,1934
24.93,35.369,2298.5,1943.4
24.668,35.36,2302.8,1970.4
24.614,35.367,2303.4,1974.6
24.507,35.368,2308.2,1973.1
24.636,35.383,2305.1,1962.8
24.658,35.383,2309.8,1944.3
24.261,35.377,2315.2,1937.6
23.669,35.356,2293,1973.2
23.198,35.388,2279.6,2042.1
22.888,35.415,2274.1,2103.8
22.642,35.417,2282.5,2142.6
21.966,34.453,2308.1,2085.9
22.661,35.048,2332,2087.6
23.085,35.306,2326.3,2059.4
23.305,35.365,2322.1,2046.6
23.196,35.365,2336.3,2053.7
23.108,35.361,2336.7,2068.2
22.838,35.354,2353.2,2098.6
22.428,35.378,2359.3,2132.2
22.173,35.39,2353.2,2151.5
22.566,35.39,2293.8,2082.4
23.759,35.421,2219.1,1936.8
24.389,35.285,2223.8,1864.7
24.455,35.17,2231.7,1782.6
23.811,34.558,2244.2,1915.7
23.689,34.834,2269.6,1949
24.032,35.291,2298.2,1975.9
23.865,35.244,2295.8,1979
23.776,35.332,2304,1985.7
23.642,35.337,2300.7,1986.1
23.349,35.338,2309.3,1990.1
22.951,35.267,2323.9,2014.9
22.63,35.264,2323.9,2064.4
26.179,35.818,2348.4,2218.2
25.993,35.823,2355.5,2247.5
25.539,35.581,2537.9,2394.3
26.881,35.469,2349.3,2047.5
26.953,35.383,2305.8,1978
26.562,35.531,2256.8,1959.2
26.483,35.514,2216.8,1928.2
26.153,35.406,2200.6,1959.5
25.645,34.946,2260.6,1946.3
26.589,35.369,2306.4,2001.3
26.392,35.429,2314.2,2019.1
25.25,35.366,2353.2,2186.8
