%Temp,%Salinity,%TA,%DIC
-9,-9,2084,-9
-9,-9,2260.5,-9
-9,-9,2333.5,-9
31.1283,35.4256,2159.5,-9
31.2005,35.4322,2111,-9
31.2043,35.4196,2262.5,2024.28
31.2049,35.4317,2322,2152.14
31.2413,34.2237,2162,1896.78
31.1939,34.2213,2095,1846.46
31.2066,34.2394,2157.5,1824.06
31.2217,34.2651,2130.5,1806.03
31.1957,34.059,2131,1808.75
31.1783,33.985,2112,1775.16
31.1609,34.0059,2038,1760.87
31.0898,34.302,2227,2029.21
31.0579,34.3148,2250,2109.2
30.9942,34.4073,2176,1830.45
30.9042,34.428,2039.5,1818.54
-9,-9,2112.5,1741.92
-9,-9,2104.5,1693.03
27.2155,35.0941,2288.5,-9
26.9803,35.0976,2317.5,2125.2
30.9171,35.0755,2175.5,1832.08
32.846,35.1113,2109.5,1692.91
29.6371,35.1706,2228,-9
28.9692,35.1975,2270.5,2062.1
31.4938,35.223,2152.5,1804.54
33.225,35.2219,2093.5,1703.83
29.5355,35.221,2228.5,1986.47
28.7265,35.2332,2286.5,2113.32
29.5431,35.6137,2178.45,1834.775461
28.7868,35.6137,2178.45,1834.775461
25.6245,35.5898,2294,2123.586133
24.8548,35.5898,2294,2123.586133
28.7275,35.5901,2193.5,1819.5858
27.3937,35.5901,2193.5,1819.5858
24.5369,35.6587,2361,2231.373033
24.1998,35.6587,2361,2231.373033
28.3227,35.6575,2200.25,1886.3504
27.0088,35.6575,2200.25,1886.3504
23.5001,35.5113,2372.8,2240.4034
23.6755,35.5113,2372.8,2240.4034
28.2267,35.768,2258.65,1959.50612
27.0593,35.7687,2258.65,1959.50612
23.9823,35.4506,2304.55,2183.463447
24.5969,35.4444,2304.55,2183.463447
25.9599,35.4955,2209.95,1894.745627
25.4126,35.5346,2209.95,1894.745627
24.69,35.4382,2282.1,2050.15078
26.2074,35.4473,2282.1,2050.15078
24.5037,35.4887,2299.05,2043.571376
23.946,35.5215,2299.05,2043.571376
25.4461,35.4683,2255.85,1964.221452
27.8813,35.4636,2255.85,1964.221452
24.9792,35.5376,2282.5,2004.187634
24.3168,35.583,2282.5,2004.187634
26.3992,35.4196,2225.85,1905.367122
28.4193,35.4353,2225.85,1905.367122
26.3764,35.5525,2271.85,1997.9886
25.1013,35.6036,2271.85,1997.9886
28.2872828,35.6777,2203.5,1858.398563
30.0553626,35.7316,2203.5,1858.398563
26.5336595,35.767,2281.2,2060.737133
25.825291,35.7429,2281.2,2060.737133
28.518188,35.842,2163.9,1799.8732
29.7959432,35.8932,2163.9,1799.8732
26.7676554,35.8508,2257.05,2045.37618
26.1190072,35.9202,2257.05,2045.37618
28.1284607,35.6249,2177.55,1809.29415
29.2576629,35.6432,2177.55,1809.29415
26.2792251,35.6491,2265.3,2059.9511
25.9626776,35.6689,2265.3,2059.9511
28.3872819,35.4519,2195.65,1769.624358
29.8932504,35.51,2195.65,1769.624358
27.460371,35.5484,2299.75,2093.5895
27.0350508,35.5495,2299.75,2093.5895
26.8851,34.9328,2185.8,1791.12378
26.7084,35.0545,2185.8,1791.12378
24.0385,35.396,2335.65,2144.35078
23.3997,35.4221,2335.65,2144.35078
