%Temp,%Salinity,%TA,%DIC
29.69283,33.726371,2069.5,1807.9915
29.597451,33.604962,2076.1,1829.9921
29.69283,33.726371,2083.6,1809.4954
29.344646,33.705798,2084.8,1851.7836
29.597451,33.604962,2085.3,1828.8816
29.508933,33.6997,2085.9,1826.4736
29.529185,33.599329,2086,1842.0773
29.513383,33.604573,2086.7,1815.2903
29.597451,33.604962,2087.3,1840.5467
29.433497,33.595684,2087.5,1855.6957
29.498557,33.66254,2091.7,1845.7379
29.498557,33.66254,2091.7,1846.7373
29.69283,33.726371,2091.8,1771.1354
29.498557,33.66254,2091.9,1847.3629
29.508933,33.6997,2092.7,1816.5198
29.344646,33.705798,2093.8,1871.9043
29.34974,33.563627,2096.2,1860.7609
29.469938,33.666636,2096.6,1851.1297
29.597451,33.604962,2096.7,1827.7768
29.263113,33.675899,2096.9,1861.4724
29.508933,33.6997,2097.1,1819.928
29.325526,33.706137,2098.5,1859.0213
29.313381,33.505325,2099,1870.3531
29.313381,33.505325,2099.3,1867.6287
29.390876,33.655057,2099.6,1893.6528
29.325526,33.706137,2100.5,1880.623
29.313381,33.505325,2100.8,1867.1465
29.344646,33.705798,2101,1862.2407
29.425806,33.682095,2101,1893.9893
29.425806,33.682095,2101.3,1884.3533
29.439353,33.676051,2101.7,1861.3165
29.325526,33.706137,2101.8,1857.8328
29.319851,33.657176,2102,1867.2373
29.319851,33.657176,2102.1,1891.5897
29.390876,33.655057,2102.2,1894.2835
29.34974,33.563627,2102.2,1860.6912
29.313381,33.505325,2102.6,1866.7866
29.425806,33.682095,2102.7,1879.3965
29.263113,33.675899,2102.8,1872.1496
29.439353,33.676051,2103.3,1890.9255
29.34974,33.563627,2104,1846.0754
29.34974,33.563627,2104.1,1857.0787
29.34974,33.563627,2104.3,1847.1791
29.425806,33.682095,2104.7,1874.7303
29.428429,33.672375,2105.1,1856.4794
29.258967,33.649065,2105.2,1879.7154
29.433497,33.595684,2105.5,1827.2013
29.313381,33.505325,2106,1865.4589
29.390876,33.655057,2106.1,1874.0452
29.313381,33.505325,2106.2,1860.7486
29.425806,33.682095,2106.9,1883.445
29.313381,33.505325,2107.2,1865.4486
29.34974,33.563627,2107.6,1847.2263
29.388757,33.659145,2108.3,1831.5656
29.508933,33.6997,2108.4,1822.0069
29.33081,33.68635,2108.4,1862.5872
29.390876,33.655057,2109.1,1893.5976
29.529185,33.599329,2109.2,1850.0505
29.34974,33.563627,2109.6,1842.4386
29.452002,33.6669,2110,1850.02
29.313381,33.505325,2110.1,1856.3249
29.390876,33.655057,2110.7,1867.1256
29.410993,33.711774,2110.7,1931.6965
29.410993,33.711774,2110.8,1867.2866
29.344646,33.705798,2110.9,1872.8743
29.418858,33.723828,2111,1892.5284
29.340919,33.589329,2111.6,1845.5523
29.452002,33.6669,2111.8,1822.6837
29.34974,33.563627,2111.9,1842.5484
29.34974,33.563627,2113,1853.1572
29.193804,33.732793,2113.1,1879.6328
29.258967,33.649065,2113.6,1865.9742
29.407169,33.608219,2113.6,1846.6535
29.34974,33.563627,2113.8,1860.0743
29.388757,33.659145,2114.2,1835.7238
29.508933,33.6997,2114.2,1845.0567
29.313381,33.505325,2114.5,1867.7293
29.31456,33.575032,2114.6,1852.735
29.508933,33.6997,2114.7,1846.1584
29.388757,33.659145,2115,1853.0373
29.425806,33.682095,2115.1,1848.6137
29.410993,33.711774,2115.1,1867.5356
29.263113,33.675899,2115.6,1839.7569
29.267831,33.648216,2116.7,1910.6157
29.278874,33.660995,2116.8,1888.2315
29.34974,33.563627,2117.2,1851.4281
29.452002,33.6669,2117.6,1833.8545
29.33081,33.68635,2118,1863.798
29.278874,33.660995,2118,1900.5226
-9,-9,2118.3,1837.5449
29.33081,33.68635,2118.8,1870.6295
29.34974,33.563627,2119,1840.7547
29.390876,33.655057,2119.3,1868.8714
29.048169,33.717744,2119.3,1903.6233
29.33081,33.68635,2119.8,1866.3758
29.31456,33.575032,2120.2,1877.8232
29.529185,33.599329,2120.2,1855.1792
29.340919,33.589329,2120.3,1860.6825
29.263113,33.675899,2120.4,1856.7963
29.34974,33.563627,2121,1856.0004
29.278874,33.660995,2121.6,1890.0008
-9,-9,2121.6,1800.9758
29.418858,33.723828,2121.9,1869.2334
29.278874,33.660995,2121.9,1869.6614
29.31456,33.575032,2122,1854.1535
29.048169,33.717744,2122.3,1898.6299
-9,-9,2122.9,1834.192
29.260774,33.651343,2123.6,1880.2033
29.278874,33.660995,2123.9,1896.128
29.278874,33.660995,2123.9,1892.5591
29.048169,33.717744,2124.1,1905.774
29.418858,33.723828,2124.2,1888.9724
29.151933,33.82267,2124.5,1868.5622
29.06573,33.671909,2124.7,1915.5792
29.06573,33.671909,2125.3,1911.8534
-9,-9,2125.8,1834.3186
29.31456,33.575032,2125.9,1862.9103
29.048169,33.717744,2126,1887.3043
29.193804,33.732793,2126.1,1877.2284
29.31456,33.575032,2126.3,1856.8485
29.267831,33.648216,2126.5,1896.63
29.1768,33.8012,2126.8,1826.6157
29.31456,33.575032,2127.4,1848.0729
29.31456,33.575032,2128.4,1872.5211
29.151933,33.82267,2128.9,1864.3577
29.260774,33.651343,2129.1,1874.7053
29.260774,33.651343,2130,1885.3061
29.243888,33.662222,2130,1908.8496
29.2471,33.655002,2130.3,1913.1639
29.105823,33.769782,2130.4,1899.9496
29.082303,33.761475,2130.7,1896.3331
29.242873,33.716988,2130.9,1826.3489
29.263113,33.675899,2131.7,1867.2242
29.2471,33.655002,2132,1905.4975
29.260774,33.651343,2132.1,1866.8664
29.31456,33.575032,2132.9,1872.7353
29.260774,33.651343,2133.1,1885.869
29.082303,33.761475,2133.2,1888.0628
29.234091,33.656677,2133.3,1885.1175
29.31456,33.575032,2133.6,1853.006
29.234091,33.656677,2134.1,1892.8663
-9,-9,2134.8,1831.2853
29.260774,33.651343,2135.4,1886.714
29.195963,33.715069,2136.2,1868.6759
29.31456,33.575032,2136.3,1834.0848
29.1768,33.8012,2136.3,1814.3942
29.31456,33.575032,2136.5,1874.5308
29.260774,33.651343,2137,1884.6363
29.309286,33.619057,2137.2,1833.8355
29.273182,33.759565,2138.5,1845.8811
29.174247,33.825466,2140.5,1868.4677
29.195963,33.715069,2140.9,1865.0807
29.195963,33.715069,2141.4,1857.5055
29.216812,33.655063,2144.2,1895.8697
-9,-9,2146.4,1818.4291
29.20206,33.679961,2148.8,1892.7936
29.039358,33.841817,2149.2,1845.5438
29.039358,33.841817,2149.2,1887.6064
29.216812,33.655063,2149.5,1896.5413
29.06573,33.671909,2150.8,1909.2342
29.069915,33.721241,2151.7,1919.1414
29.069915,33.721241,2152.1,1911.5899
29.079641,33.805641,2152.4,1878.7094
29.082303,33.761475,2155.9,1895.0293
29.105823,33.769782,2157.6,1891.1048
29.039358,33.841817,2158.1,1876.742
29.007395,33.829529,2160.3,1907.2373
29.069915,33.721241,2160.6,1893.1591
29.007395,33.829529,2162.2,1896.2156
29.508933,33.6997,2166.5,1829.0789
29.069915,33.721241,2168.4,1898.1822
-9,-9,2175.7,1826.7804
29.31456,33.575032,2180.4,1877.2139
-9,-9,2213.5,1832.3885
29.007395,33.829529,2249.6,1921.1946
-9,-9,-9,1834.2086
-9,-9,-9,1815.4548
-9,-9,-9,1820.7124
-9,-9,-9,1808.4997
29.433497,33.595684,-9,1853.3891
29.396889,33.588875,-9,1851.764
29.407169,33.608219,-9,1861.8712
29.055466,33.786291,-9,1892.9881
29.080129,33.752991,-9,1889.2496
29.055799,33.737397,-9,1868.7789
29.069578,33.699588,-9,1910.9346
29.078694,33.680229,-9,1894.0763
29.068571,33.688036,-9,1902.0625
29.059685,33.68238,-9,1912.8211
29.06573,33.671909,-9,1889.11
29.079695,33.686188,-9,1911.8032
28.976925,33.816482,-9,1895.1338
29.055705,33.828993,-9,1886.3416
29.536246,33.741364,-9,1795.0306
29.69283,33.726371,-9,1806.8581
29.69283,33.726371,-9,1798.5669
29.636187,33.716911,-9,1790.1107
29.508933,33.6997,-9,1822.1208
29.508933,33.6997,-9,1843.323
29.45692,33.705857,-9,1846.0947
29.410993,33.711774,-9,1864.4908
29.410993,33.711774,-9,1867.6259
29.418858,33.723828,-9,1872.2438
29.265427,33.761406,-9,1869.3341
29.265427,33.761406,-9,1867.7894
29.147661,33.794706,-9,1898.0087
29.067694,33.823144,-9,1897.3837
29.067694,33.823144,-9,1893.1709
29.082303,33.761475,-9,1898.5825
29.174247,33.825466,-9,1848.7217
29.1768,33.8012,-9,1839.4238
29.273182,33.759565,-9,1864.8698
29.33081,33.68635,-9,1880.5877
29.325526,33.706137,-9,1871.5229
29.335186,33.708252,-9,1864.7654
29.335186,33.708252,-9,1848.4538
29.35778,33.705052,-9,1874.2698
29.35778,33.705052,-9,1879.4932
29.293333,33.67052,-9,1893.0945
29.24124,33.662994,-9,1902.4244
29.24124,33.662994,-9,1910.6147
29.193804,33.732793,-9,1885.8807
29.168519,33.695697,-9,1888.5872
29.168519,33.695697,-9,1877.8385
29.103916,33.741738,-9,1858.1754
29.071001,33.766131,-9,1889.4993
29.071001,33.766131,-9,1875.0028
29.060565,33.697929,-9,1888.5648
29.027127,33.716731,-9,1899.8418
29.027127,33.716731,-9,1898.1446
29.037144,33.7146,-9,1899.5459
29.048169,33.717744,-9,1897.541
29.081141,33.72316,-9,1901.0284
29.105832,33.714167,-9,1874.297
29.105832,33.714167,-9,1910.1361
29.147014,33.714905,-9,1872.3077
29.147014,33.714905,-9,1852.8766
29.195963,33.715069,-9,1843.9782
29.242873,33.716988,-9,1834.9354
29.242873,33.716988,-9,1863.7564
29.724883,33.631714,-9,1821.1107
29.597451,33.604962,-9,1800.5905
29.597451,33.604962,-9,1814.2478
29.648514,33.596742,-9,1808.136
29.63298,33.61249,-9,1833.6839
29.63298,33.61249,-9,1834.7148
29.496034,33.631074,-9,1854.4476
29.410061,33.630994,-9,1865.1028
29.410061,33.630994,-9,1850.4814
29.401511,33.632813,-9,1866.6755
29.376181,33.664506,-9,1876.8599
29.376181,33.664506,-9,1878.0154
29.33245,33.660037,-9,1869.4754
29.305258,33.666886,-9,1881.9826
29.237892,33.682575,-9,1890.2057
29.243888,33.662222,-9,1896.0863
29.243888,33.662222,-9,1894.616
29.267831,33.648216,-9,1897.7225
29.29846,33.654292,-9,1866.7099
29.29846,33.654292,-9,1870.5515
29.390876,33.655057,-9,1880.7102
29.414794,33.668001,-9,1865.1251
29.414794,33.668001,-9,1847.5087
29.414794,33.668001,-9,1856.5682
29.428429,33.672375,-9,1820.2313
29.469938,33.666636,-9,1844.8525
29.469938,33.666636,-9,1830.8321
29.505983,33.658022,-9,1856.3511
29.505983,33.658022,-9,1843.3898
29.480835,33.659064,-9,1866.5877
29.480835,33.659064,-9,1851.3757
29.439353,33.676051,-9,1873.0537
29.429793,33.677509,-9,1866.9185
29.429793,33.677509,-9,1885.4776
29.364189,33.683854,-9,1887.2067
29.364189,33.683854,-9,1889.8024
29.20206,33.679961,-9,1892.1882
29.20206,33.679961,-9,1879.2761
29.243455,33.626313,-9,1874.5207
29.243455,33.626313,-9,1894.8931
29.294113,33.626867,-9,1870.0867
29.31456,33.575032,-9,1838.7933
29.34974,33.563627,-9,1817.8401
29.334136,33.500721,-9,1856.6779
29.334136,33.500721,-9,1860.154
29.313381,33.505325,-9,1854.7385
-9,-9,-9,1841.0167
-9,-9,-9,1812.9855
-9,-9,-9,1818.0793
-9,-9,-9,1814.3114
29.513383,33.604573,-9,1791.1164
29.433497,33.595684,-9,1862.1871
29.433497,33.595684,-9,1853.1895
29.407169,33.608219,-9,1861.0944
29.407169,33.608219,-9,1848.6616
29.080129,33.752991,-9,1891.1151
29.080129,33.752991,-9,1884.6636
29.069578,33.699588,-9,1900.8797
29.069578,33.699588,-9,1908.431
29.068571,33.688036,-9,1902.4577
29.068571,33.688036,-9,1899.6383
29.06573,33.671909,-9,1911.9787
29.06573,33.671909,-9,1898.2931
28.976925,33.816482,-9,1914.3786
28.976925,33.816482,-9,1909.08
29.055705,33.828993,-9,1903.1866
29.055705,33.828993,-9,1879.4434
29.536246,33.741364,-9,1763.4186
29.69283,33.726371,-9,1784.7813
29.69283,33.726371,-9,1769.8391
29.636187,33.716911,-9,1798.6328
29.508933,33.6997,-9,1841.6731
29.508933,33.6997,-9,1845.7491
29.45692,33.705857,-9,1837.8826
29.410993,33.711774,-9,1859.72
29.410993,33.711774,-9,1872.742
29.418858,33.723828,-9,1869.9713
29.265427,33.761406,-9,1891.4559
29.265427,33.761406,-9,1870.3538
29.067694,33.823144,-9,1902.5905
29.067694,33.823144,-9,1901.4331
29.079641,33.805641,-9,1893.1167
29.082303,33.761475,-9,1898.8728
29.082303,33.761475,-9,1901.8439
29.174247,33.825466,-9,1872.5071
29.174247,33.825466,-9,1850.496
29.273182,33.759565,-9,1856.0182
29.325526,33.706137,-9,1871.0037
29.335186,33.708252,-9,1863.5045
29.344646,33.705798,-9,1857.4684
29.35778,33.705052,-9,1861.0334
29.293333,33.67052,-9,1880.4774
29.293333,33.67052,-9,1888.9512
29.24124,33.662994,-9,1904.3879
29.218093,33.660268,-9,1912.9388
29.193804,33.732793,-9,1879.5718
29.168519,33.695697,-9,1883.022
29.103916,33.741738,-9,1875.257
29.103916,33.741738,-9,1886.3047
29.071001,33.766131,-9,1874.6584
29.060565,33.697929,-9,1882.8799
29.060565,33.697929,-9,1895.4426
29.027127,33.716731,-9,1898.6487
29.037144,33.7146,-9,1896.3162
29.037144,33.7146,-9,1900.2507
29.081141,33.72316,-9,1891.9132
29.081141,33.72316,-9,1888.044
29.105832,33.714167,-9,1891.3855
29.069915,33.721241,-9,1913.0226
29.147014,33.714905,-9,1860.2319
29.195963,33.715069,-9,1861.6094
29.195963,33.715069,-9,1841.2265
29.242873,33.716988,-9,1842.021
29.388757,33.659145,-9,1849.8306
29.724883,33.631714,-9,1813.6859
29.597451,33.604962,-9,1778.3826
29.648514,33.596742,-9,1817.0489
29.648514,33.596742,-9,1825.8332
29.63298,33.61249,-9,1835.6013
