%Temp,%Salinity,%TA,%DIC
24.87,34.63,2377.46,2027.014343
24.8,34.71,2379.61,2037.459082
25.05,34.61,2366.11,2015.776449
25.2,34.6,2373.16,2024.920971
25.41,34.52,2373.26,2039.806297
25.11,34.64,2372.81,2026.457289
25,34.67,2365.26,2001.387066
26.1,35.55,2367.56,1986.079212
26.05,35.61,2370.91,1988.243679
26.11,35.54,2370.91,1990.751116
26.2,35.63,2370.06,1976.346425
26.11,35.7,2363.61,1976.196729
26.22,35.77,2361.61,1973.453665
26.23,35.73,2362.376667,1986.817983
25.24,35.37,2335.91,1945.207
26.42,36.1,2254.41,1795.093699
25.48,35.5,2376.46,2025.868688
25.83,35.57,2367.81,2027.667284
26.04,35.55,2369.11,2030.369943
25.77,35.56,2364.56,2033.941131
25.53,34.52,2331.21,2037.057278
25.47,34.87,2334.21,2038.051121
25.47,34.89,2336.51,2040.610359
25.4,34.78,2331.21,2037.663879
25.55,35,2334.81,2048.192557
25.65,34.91,2332.46,2045.147512
25.59,34.83,2324.993333,2035.157172
27.9,32.1,2336.61,1956.309953
28,35,2337.693333,1952.366881
27.9,37.2,2337.16,1942.987112
27.9,37.2,2325.76,1948.409799
28,37.4,2317.66,1949.120296
27.9,37.5,2331.21,1950.244558
28,37.4,2308.254444,1934.155254
28,37.3,2315.676667,1936.924597
28,37.5,2318.026667,1935.429592
27.2,37.1,2362.56,2027.525457
27.7,37.3,2360.61,2016.51
28,37.3,2298.46,1948.671354
28.6,36.7,2225.893333,1913.24937
29.2,36.1,2237.126667,1861.639292
29.2,36.3,2234.46,1859.692855
29.1,36.4,2232.66,1863.716078
29.3,36.4,2246.16,1874.964958
29.3,36.4,2252.51,1881.475986
29.2,36.6,2242.26,1862.466296
29.3,36.4,2242.21,1867.86562
29.3,36.9,2282.11,1923.281881
29.3,37,2278.943333,1921.860958
29.3,36.9,2280.01,1916.559219
29.4,37,2287.86,1913.495745
29.4,37,2276.86,1924.200257
29.4,37,2288.46,1917.917796
29.4,37.1,2292.876667,1920.819235
28.2,37.1,2363.86,2016.129892
28.2,37.2,2360.71,2019.817678
27.9,37.3,2366.26,2025.295397
27.7,37.2,2360.96,2031.840528
27.7,37.1,2353.91,2025.358585
27.7,37.5,2342.81,1980.486648
30.4,37,2333.01,1972.794134
30.2,37.2,2324.71,1965.631031
30.4,37.3,2331.11,1967.300262
30.4,37.3,2323.86,1972.957425
30.4,37.2,2322.86,1959.732065
30.4,37.3,2324.56,1961.067579
30.4,37.3,2328.36,1961.310813
29.6,36.5,2320.41,1970.54413
29.8,36.9,2326.06,1954.594277
29.7,36.8,2323.26,1950.513585
29.8,36.6,2329.06,1963.146192
29.7,37.1,2337.743333,1970.099387
29.8,37,2332.36,1964.802931
29.8,37,2325.11,1956.788849
29.6,37,2366.71,2025.528724
30.1,36.7,2340.46,2005.507509
30.8,37.2,2338.21,1966.403938
31.1,37.3,2350.21,1964.824338
31.7,37.3,2287.71,1902.214165
31.9,37.4,2205.41,1878.452119
30.9,36,2251.66,1900.191671
30.8,36.8,2251.06,1895.294919
30.9,36.9,2250.26,1890.937674
30.9,36.7,2255.66,1878.107037
30.9,36.9,2267.46,1906.915004
30.9,36.6,2271.31,1907.533896
30.9,36.9,2249.26,1885.711843
31.6,36.2,2284.26,1910.575217
31.6,36.2,2279.41,1897.061197
31.6,36.4,2274.06,1892.874788
31.7,36.4,2254.91,1888.101192
31.7,36.4,2253.61,1890.350661
31.7,36.4,2291.16,1984.375616
31.7,36.4,2272.51,1893.343424
30.5,36.2,2371.11,2059.837656
30.7,36.4,2394.56,2055.642231
30.7,36.4,2394.01,2036.975338
30.8,36.6,2388.36,2057.809863
30.8,36.5,2399.06,2040.71108
29.2,36.8,2381.123877,2066.726
29.2,36.6,2380.529425,2062.458
29.3,36.6,2372.538941,2061.671
29.3,36.5,2373.306552,2061.272
29.3,36.6,2390.29621,2066.74
29.3,36.6,2381.412362,2060.957
29.3,36.7,2382.394569,2060.571
28.7,36.2,2363.536187,2014.205
28.8,36.3,2368.228669,2035.498
29,36.5,2382.119762,2075.534
29.4,36,2383.392153,2123.966
29.4,36.6,2403.453482,2118.873
29.5,36.6,2392.580963,2116.688
29.4,36.6,2388.460243,2113.663
29.5,36.5,2388.956999,2116.041
29.5,36.6,2386.17266,2119.002
29.4,36.7,2387.703546,2111.881
29.4,36.6,2389.17868,2115.199
22.2,35.7,2458.703039,2195.649
22.3,35.9,2475.865298,2200.465
22.4,36,2461.280259,2182.75
22.4,36,2452.275684,2190.536
22.5,36.2,2458.122187,2188.988
22.4,36,2457.426709,2188.758
24,37,2399.841487,2075.767735
24,37,2397.286661,2075.145949
24.1,37,2402.524792,2075.342149
24.1,37,2400.996269,2071.8973
24.2,37,2402.680942,2067.110266
24.1,37,2409.558098,2074.980377
24.1,37,2409.594262,2081.511466
22,36,2541.541474,2291.52028
22,36,2548.825076,2299.351855
22,36,2543.521486,2289.948926
22,36.1,2543.673057,2277.470114
22,36.1,2539.572681,2290.728042
22,36,2543.104829,2295.102789
22,36,2560.555874,2305.642343
26.3,36.8,2362.500471,2022.514653
26.2,36.9,2367.73065,2023.153505
26.6,36.9,2369.526107,2026.073024
25.7,37,2369.837195,2034.312127
25.2,37,2384.017035,2037.937739
25.1,36.8,2428.281569,2105.640723
22.4,36.3,2384.846815,2048.211981
22.4,36.4,2383.119326,2045.500164
22.5,36.5,2385.145244,2041.421412
22.5,36.5,2386.294067,2046.793857
22.5,36.5,2384.017547,2045.242255
22.3,36.2,2378.128361,2037.721836
22.3,36.4,2377.002777,2039.002636
22.4,36.4,2376.991424,2036.376211
22.5,36.4,2377.909644,2036.024435
22.7,36.4,2382.637921,2044.037845
22.6,36.4,2376.738573,2037.399115
22.5,36.5,2371.064657,2029.969972
22.6,36.4148,2394.75266,2031.038627
22.6,36.4148,2387.450064,2022.014248
22.6,36.4148,2393.812585,2033.137239
22.6,36.4148,2393.808704,2030.359029
22.6,36.4148,2385.904043,2021.275136
22.6,36.4148,2387.841152,2020.254561
22.6,36.4148,2384.749232,2018.043034
23.5,36.4,2375.942994,2043.471984
23.4,36.4,2376.284516,2045.332074
23.4,36.4,2370.820153,2033.924799
23.1,36.6,2383.543917,2030.856961
23.2,36.6,2385.30006,2037.872955
22.9,36.7,2372.095978,2032.519004
27.22,36.21,2234.159033,1915.458141
28.4,36.02,2248.318273,1929.336002
29.1,36.04,2244.006444,1878.586143
28.9,36.07,2350.666521,1969.120419
28.8,36.06,2353.793034,1995.355535
28.7,36.13,2319.657202,1956.467042
30.53,35.8,2316.996397,1950.629774
30.34,36.48,2363.671917,2017.37644
29.87,36.39,2367.991013,2024.621591
30.04,36.5,2370.531227,2020.55627
