%Temp,%Salinity,%TA,%DIC
29.64,32.76,2156.34,1862.154674
27.998,33.398,2211.122966,1905.300463
27.998,33.422,2229.564847,1965.272644
27.998,33.419,2146.81652,1939.323047
27.1,33.582,2171.673736,1945.245237
28.642,32.831,2133.69,1871.098733
28.642,32.833,2134.49,1869.148011
28.692,32.924,2142.375526,1872.908482
29.54,32.771,2137.79,1852.51211
27.087,33.607,2190.334378,1912.463112
28.692,32.996,2211.490985,1861.804375
27.087,33.662,2216.458678,1926.168181
28.692,32.988,2123.102193,1872.644679
27.087,33.682,2145.407839,1933.921049
28.692,32.998,2171.688852,1868.176732
22.295,33.709,2238.786105,1943.304519
28.791,32.788,2137.19,1869.338082
28.791,32.805,2128.54,1867.258174
29.665,32.769,2134.09,1846.999068
29.59,33.414,2164.994453,1819.488724
29.59,33.396,2184.386341,1817.668051
29.115,32.869,2141.256667,1885.434035
29.115,32.88,2101.54,1766.500908
29.115,32.881,2101.39,1767.041108
29.115,32.875,2158.89,1855.823945
28.791,33.114,2124.95,1781.368315
28.791,33.121,2116.733333,1693.664904
30.1,32.813,2145.79,1864.525551
30.1,32.874,2132.98,1829.183481
30.1,32.797,2114.446667,1767.239568
30.1,32.905,2129.513333,1820.540285
29.665,33.382,2199.451634,1847.37904
29.59,33.424,2110.108573,1739.479132
30.444,32.901,2121.74,1806.885234
29.389,32.874,2133.89,1826.242142
29.389,32.855,2129.89,1827.462593
30.571,32.823,2081.24,1729.835734
29.24,33.321,2156.085454,1874.669134
29.24,33.317,2183.906398,1844.18786
29.24,33.312,2185.277867,1855.442022
29.24,33.311,2171.48198,1854.671737
28.196,32.906,2151.99,1856.493331
28.196,32.985,2150.09,1856.803446
30.63,32.823,2130.64,1831.864473
27.481,33.207,2177.87,1901.632797
29.515,32.996,2280.69,1854.734478
29.24,32.818,2125.39,1910.283226
29.24,32.761,2137.89,1853.492221
27.974,33.026,2154.02,1840.839339
30.016,32.945,2145.79,1846.920652
30.016,32.973,2140.44,1855.193712
30.016,32.898,2156.59,1864.967327
30.016,32.878,2156.24,1866.177775
29.215,32.803,2138.94,1877.591134
29.215,32.755,2138.24,1856.473323
27.727,32.965,2162.686667,1847.471792
29.89,32.875,2152.59,1864.447134
29.865,32.844,2150.69,1864.177035
27.136,33.108,2181.22,1876.723584
27.038,32.943,2172.79,1917.637743
27.136,33.164,2192.753333,1885.116688
27.038,33.272,2184.82,1897.621313
26.94,32.974,2156.24,1913.646267
26.769,32.931,2138.99,1883.365067
26.818,33.212,2192.95,1909.26562
26.818,33.205,2171.675,1935.38528
29.5,32.833,2161.13,1861.76453
29.115,32.903,2158.19,1857.044396
29.115,32.91,2158.923333,1868.158507
29.5,32.856,2164.63,1865.205802
22.082,33.955,2213.77,1987.764654
22.082,34.016,2214.42,1988.284846
22.393,34.047,2242.2,2002.630152
22.393,34.115,2240.97,2007.922109
25.866,33.511,2227.45,1934.523989
25.866,33.542,2233.723333,1938.525469
29.515,33.683,2222.49,1944.757774
29.515,33.627,2212.39,1935.134215
29.57,29.99,1997,1717.6
28.617,30.436,2017.19,1779.926798
28.493,30.885,2040.44,1780.657068
28.493,30.885,2034.333333,1777.680007
28.642,30.881,2023.166667,1761.210556
28.69,29.75,1962.7,1709.7
28.69,29.77,1961.8,1705.8
28.69,29.65,1984.5,1710.3
28.69,29.65,1989.1,1710.2
28.57,31.11,2068.9,1775.4
28.57,31.01,2029.1,1732.4
28.57,30.97,2121.9,1757.8
28.57,30.95,2057.9,1766.5
28.57,30.94,2069.1,1775.7
28.59,30.91,2056.2,1769.9
28.99,29.7,2036.1,1653.9
28.99,29.71,2059.4,1630.6
28.79,30.004,1972.6,1690.560376
28.79,30.283,1954.1,1656.093763
29.57,30.04,1971.1,1553.4
29.57,30.01,1947.6,1642.8
29.57,30.17,1980.5,1671.2
29.57,30.26,1991.7,1696.4
29.57,30.33,2041.9,1736.9
28.941,30.881,2035.94,1757.458488
28.32,30.916,2038,1769.9
28.941,30.881,2031.766667,1757.141944
29.04,31.163,2004.15,1698.768271
29.57,30.35,2013.1,1704.7
29.065,30.854,2020.14,1734.690067
29.065,30.854,2040.4,1758.865196
28.99,30.51,2054,1734.5
28.99,30.51,1995.8,1735.8
28.99,30.45,2020.1,1742.9
28.99,30.47,2023.5,1744.9
29.015,30.844,2020.84,1738.001291
28.394,30.844,2025.35,1762.660092
28.766,30.295,2033.09,1780.226909
28.617,31.01,2055.206667,1786.219125
28.717,30.36,2021.89,1790.700783
28.816,31.304,2024.19,1820.021628
28.816,31.226,2069.506667,1807.306925
28.53,30.238,1980.233333,1734.784777
28.742,30.295,2032.7,1794.294449
28.57,28.881,1984.2,1725.459419
28.6545,30.626,2047.19,1793.971993
28.6545,30.679,2048.873333,1792.72153
28.62,29.766,1972.35,1731.341595
28.62,30.612,1967,1761.021296
28.62,30.529,1974.3,1773.325847
28.692,30.696,2055.54,1792.88159
28.71,30.044,1995.2,1785.86176
28.568,30.436,1996.6,1763.544778
28.49,30.332,2013.966667,1786.633333
28.74,31.202,2009.2,1700.428885
28.89,30.145,2004.85,1762.803231
28.77,30.561,2019.8,1742.025546
27.875,31.827,2106.64,1831.455857
27.875,31.827,2103.466667,1829.053714
27.998,31.212,2091.2,1821.19283
26.7,33.074,2160.15,1945.15
26.7,32.945,2168.75,1936.3
