%Temp,%Salinity,%TA,%DIC
24.427,36.705,2366.948143,2064.918429
24.623,36.429,2359.558371,2130.576086
25.925,37.069,2308.869143,1943.474714
25.866,36.67,2384.597714,2010.563714
25.653,36.624,2372.1888,2048.8512
25.402,36.437,2352.789143,2086.278514
25.148,36.384,2383.671771,2091.560229
26.171,37.228,2398.546857,2000.739086
25.426,36.45,2384.871429,2067.235714
25.221,36.367,2385.6752,2093.700143
25.858,37.132,2379.630743,2004.067086
25.606,36.534,2388.279771,2075.1312
25.517,36.398,2375.229486,2081.9656
25.739,36.886,2375.4584,2054.023257
25.647,36.708,2379.7272,2080.8192
25.452,36.542,2381.494343,2076.629657
25.257,36.376,2387.304914,2061.999543
25.312,36.362,2382.230457,2081.984229
26.063,37.267,2385.088,2093.340629
25.376,36.55,2388.281429,2070.818571
25.258,36.396,2362.620343,2086.010743
26.197,37.724,2327.031886,1942.247086
25.639,36.771,2384.862,2060.2266
25.447,36.579,2380.770343,2072.461629
25.135,36.372,2381.8464,2084.6352
24.89,36.346,2383.259143,2090.414229
26.837,35.945,2356.965,2036.541
27.694,35.914,2373.402343,2078.907543
27.899,35.905,2383.066143,2050.688429
26.93,36.382,2321.1716,1969.825429
27.504,35.964,2351.018057,1972.882286
27.954,35.819,2365.0774,2008.9342
28.149,36.044,2389.202286,2031.851771
27.048,36.321,2308.977857,2011.145657
27.327,36.021,2291.964771,1953.367371
27.951,35.909,2362.8122,2010.904
28.03,35.873,2385.042029,2076.534229
28.115,35.5,2387.628571,2074.214286
26.929,37.171,2173.972486,1898.907086
27.419,36.294,2288.595943,1987.874229
27.86,35.896,2385.5456,2093.2496
27.196,37.713,2095.765286,1878.1074
26.978,36.067,2349.507429,2053.758029
27.862,35.624,2386.808,2089.602057
26.255,36.531,2392.258629,2015.467457
25.667,36.474,2396.862857,2082.144343
25.87,36.387,2386.9872,2068.860857
27.837,36.742,2312.646457,1890.638343
27.137,36.557,2383.5164,2015.857429
27.329,36.59,2404.485714,2039.631143
27.01,36.54,2392.848,2039.976
26.764,36.791,2316.781829,1907.876143
26.497,36.32,2382.592,2085.805714
28.123,36.91,2335.875714,1967.830286
26.874,36.717,2393.9484,2022.582171
26.372,36.342,2386.111886,2057.995543
27.615,36.893,2389.612314,2047.034457
26.409,36.519,2395.6464,2039.847
26.368,36.343,2383.062429,2059.090543
26.299,36.278,2375.690743,2060.5904
27.732,36.619,2305.950743,1919.881857
26.171,36.384,2381.592686,2085.322971
28.464,36.08,2400.866286,2063.776
28.612,36,2410.971429,2062.285714
28.762,35.971,2391.557629,2053.430229
28.327,36.162,2382.5592,2060.2008
28.715,36.089,2379.811771,2058.104114
28.583,35.997,2391.229286,2059.0284
28.509,35.95,2398.378571,2062.502857
27.808,36.389,2365.285,2039.863371
28.048,36.186,2389.309886,2057.432571
28.315,36.028,2405.641029,2077.271543
27.942,36.35,2380.405714,2062.602857
28.016,36.155,2403.791,2070.132
28.381,36.014,2403.677257,2066.174629
28.759,35.881,2414.278714,2080.072829
27.593,36.705,2383.727571,2052.333857
27.958,36.273,2382.617914,2047.869943
