%Temp,%Salinity,%TA,%DIC
23.7,36.7424,2359.73,2051.9
27.2,36.7119,2355.11,2040.96
28.1,36.2111,2307.22,1984.7
28,36.4965,2333.18,2026.7
25.7,36.5022,2321.04,2001.6
22.2,36.3163,2354.59,2027.6
21,36.754,2393.87,2057.2
19.9,36.6636,2392.11,2070
20.3,36.7218,2392.71,2066.4
20,36.8118,2389.97,2076.1
21.3,36.4586,2349.71,2049.3
21.1,36.6138,2363.18,2053
24.9,36.6579,2360.07,2045.7
27.4,36.3474,2326.99,2015.8
27.6,36.3433,2372.88,2052.57
28.7,36.4351,2335.9,2070.4
24.8,36.5634,2371.52,2058.82
22.9,36.5968,2368.79,2046.57
21,36.628,2402.53,2093.93
19.9,36.6373,2394.02,2077.94
18.2,36.5217,2390.38,2079.46
19.7,36.7206475,2390.72,2087.04
20.3,36.709,2376.63,2076.86
23.4,36.9164,2371.23,2067.77
25.7,36.5267,2383.39,2069.89
27.3,36.2031,2345.13,2033.96
30.4,36.5634,2322.57,2001.46
28.5,36.4652,2316.59,2013.39
25.4,36.3948,2330.37,2021.79
23.1,36.3568,2342.94,2046.86
20.5,36.5588,2366.8,2067.85
18.6,36.6793,2401.53,2133.56
17.9,36.6908,2407.19,2083.54
17.9,36.619,2400.18,2079.25
20.4,36.7579,2406.21,2072.83
21.7,36.8028,2399.72,2071.85
25,36.7435,2359.92,2049.33
28.2,36.8628,2340.67,2020.03
29,36.6361,2326.33,2077.27
28.3,36.5733,2334.56,2010.49
26.2,36.3116,2355.58,2022.79
25.9,36.6639,2282.9,2020.94
22.6,36.6974,2369,2100.86
19.4,36.7083,2392.79,2073.4
17.7,36.7701,2395.07,2086.86
18.4,36.7148,2386.81,2074.47
19.1,36.7119,2398.58,2079.32
19.9,36.6502,2382.55,2073.79
21.7,36.7624,2396.97,2075.44
24.6,36.8983,2380.65,2058.95
28.4,36.89,2326.41,2026.72
28.9,36.6021,2343.59,2029.28
28,36.6182,2303.12,2009.45
25.4,36.4633,2292.64,2021.65
24,36.4026,2365.11,2034.41
22.1,36.7179,2389.63,2062.66
19.37,36.56188202,2398.08,2070.88
19.59,36.60449982,2392.25,2071.5
19.74,36.65353012,2385.32,2065.75
24.6,36.7546,2361.79,2062
27.8,36.7559,2301.28,2033.97
29.1,36.3177,2283.93,1955.6
27.9,36.4406,2277.3,1988.7
25.8,36.4513,2282.22,1985.6
21,36.4539,2315.51,1999.7
20.4,36.7216,2384.02,2065.8
19.2,36.6915,2399.48,2064.9
20.1,36.7926,2386.68,2079.5
21.8,36.3959,2350.1,2043.8
21.6,36.3876,2330.89,2030.4
25.7,36.6806,2349.95,2019.7
28.6,36.4445,2350,2018.95
29.1,36.5517,2301.04,1954.1
22.5,36.6181,2332.55,2024.87
20,36.6836,2385.98,2069.6
19.5,36.5351,2373.18,2066.72
17.4,36.4638,2383.94,2080.52
19.3,36.59641,2376.45,2078.14
20.3,36.7596,2393.01,2084.77
26.6,36.7188,2330.9,2031.59
27.9,36.2839,2318.22,2006.12
30.3,36.5797,2281.45,1988.64
28.8,36.458,2298.52,1990.58
24.3,36.0687,2267.06,1978.15
22.4,36.4493,2302.41,2027.28
20,36.4019,2320.67,2048.7
16.5,36.608,2396.99,2137.19
16.4,36.6642,2419.38,2112.25
17.5,36.4177,2397.85,2077.19
20.25,36.6678,2387.95,2080.9
22.1,36.9519,2399.25,2082.33
25.8,36.9031,2374.41,2064.18
28,36.8669,2334.37,2018.2
29.4,36.6893,2274.62,2051.05
28.4,36.6384,2273.58,1977.69
26.3,36.1309,2274.66,1979.92
25.6,36.7077,2298.21,2018.81
22.1,36.7257,2354.97,2100.18
18.1,36.7497,2385.56,2077.71
16.8,36.7955,2383.9,2092.87
17.55,36.7088,2379.65,2078.82
19,36.7909,2405.02,2091.38
19.8,36.6563,2366.06,2069.51
22.2,36.9514,2377.72,2075.3
25.2,37.0252,2345.36,2044.84
29.2,37.0553,2323.99,2027.77
29.3,36.9331,2305.32,1998.91
27.7,36.6173,2313.59,2009.81
25.1,36.6053,2288.39,2005.28
22.5,36.53,2341.41,2034.45
21,36.6032,2370.42,2080.19
18.21,36.52103424,2376.61,2064.37
18.39,36.72195053,2394.36,2073.7
19.72,36.84088135,2385.51,2076.71
28.8,36.2722,2301.67,1986.085
28.6,36.4832,2284.38,1987.31
25.95,36.6462,2302.13,1987.81
27.9,36.331,2320.4,1987.87
30.2,36.5259,2293.89,1991.43
28,36.4405,2273.97,1991.51
26.45,36.2104,2298.98,1992.23
29.45,36.8127,2294.88,1997.17
25.2,36.57734299,2279.38,1997.22
25.7,36.2947,2297.9,1998.6
24.65,36.1382,2283.07,2000.49
28.55,36.7065,2300.29,2004.36
29.15,36.908,2313.96,2009.1
22.4,36.1986,2294.67,2010.23
28.65,36.8571,2327,2013.1
21.1,36.4935,2327.89,2024.3
28.1,36.13154221,2339.16,2033.64
25.9,36.8517,2342.94,2035.47
22.7,36.53061676,2350.28,2036.53
27.425,36.47837448,2315.38,2037.34
29.4,36.6879,2280.26,2039.77
25.35,37.0219,2354.71,2045.23
26.45,36.6701,2357.64,2050.805
20.6,36.6141,2372.39,2054.28
23.35,37.0137,2365.05,2054.68
