%Temp,%Salinity,%TA,%DIC
28.27,34.014,2203.790698,1877.944987
28.28,33.974,2201.358808,1873.731828
28.26,33.882,2199.899863,1866.535058
28.27,33.82,2186.968756,1864.671477
28.25,34.07,2221.669947,1889.987131
28.28,34.062,2213.523963,1882.17609
28.29,34.062,2216.925872,1887.374906
28.3,34.055,2211.956949,1884.519547
28.74,33.868,2188.633743,1853.481183
28.23,34.024,2234.285555,1908.245321
28.28,33.935,2197.170903,1873.138286
28.37,33.952,2194.478058,1874.677258
28.36,33.981,2197.291088,1877.145071
28.32,33.971,2198.47127,1872.362617
28.24,34.364,2248.886801,1915.356394
28.37,34.246,2239.637048,1900.995602
28.36,34.263,2234.570564,1907.261107
28.37,34.079,2214.095734,1884.289815
28.38,34.069,2214.356397,1885.980758
28.39,34.065,2214.448732,1889.205252
28.09,34.028,2200.014709,1878.606261
28.2,34.006,2187.55282,1866.899958
28.05,34.099,2218.172635,1887.657228
28.17,34.133,2222.814615,1882.85861
28.17,34.129,2218.263341,1881.049124
28.28,34.143,2222.510481,1892.378917
28.26,34.121,2220.483833,1887.633616
