%Temp,%Salinity,%TA,%DIC
27.196,36.34,2398.94,2061.1
26.745,36.272,2384.17,2036.6
26.745,36.272,2384.17,2036.6
26.578,36.16,2380.09,2036
26.6246,36.211,2380.02,2033.8
26.614,36.201,2379.11,2033.8
26.571,36.14,2377.11,2031.6
27.5108,35.654,2376.89,2041.2
27.5108,35.654,2376.89,2041.2
27.332,36.31,2375.82,2036.7
27.332,36.31,2375.82,2036.7
27.335,36.27,2375.57,2044.5
27.335,36.27,2375.57,2044.5
26.732,36.28,2373.59,2025.2
26.732,36.28,2373.59,2025.2
27.296,36.27,2373.29,2035.8
27.265,36.254,2372.87,2044.1
27.2926,36.034,2372.7,2039.7
27.2926,36.034,2372.7,2039.7
27.2693,36.19,2371.85,2041.8
28.7119,35.927,2371.53,2035.7
28.7119,35.927,2371.53,2035.7
27.5429,36.23,2371.25,2033.2
27.5239,36.212,2370.88,2036.4
26.54,36.14,2369.47,2021.9
28.304,35.769,2368.93,2031.4
27.3058,36.3689,2367.93,2031.3
27.522,36.218,2366.96,2029
27.534,36.17,2365.69,2026.8
27.534,36.17,2365.69,2026.8
27.513,36.192,2364.87,2026.8
27.5155,36.1,2363.12,2027.8
27.532,36.18,2362.86,2021
27.532,36.18,2362.86,2021
27.2591,36.19,2362.76,2029.2
27.2591,36.19,2362.76,2029.2
27.291,36.21,2362.74,2022.3
27.2506,36.273,2362.04,2023.4
27.5,35.615,2360.14,2039.7
27.5,35.615,2360.14,2039.7
28.5063,35.723,2359.84,2029.3
27.282,36.21,2359.24,2021.1
28.5568,35.765,2358.75,2026.4
27.293,36.23,2358.04,2030
27.2599,36.202,2357.58,2018
27.2599,36.202,2357.58,2018
27.6493,35.6103,2356.06,2024.7
27.6493,35.6103,2356.06,2024.7
27.56,36.092,2355.02,2011.2
28.2891,35.763,2354.65,2014.3
27.654,36.121,2353.2,2024.4
27.8425,35.784,2352.51,2006.1
27.8425,35.784,2352.51,2006.1
26.3694,35.686,2352.5,2028.3
26.3694,35.686,2352.5,2028.3
28.5758,35.77,2352.41,2021.7
27.637,35.8925,2352.29,2004.4
27.637,35.8925,2352.29,2004.4
27.296,36.2,2351.76,2020.8
28.5558,35.758,2350.5,2018.3
